"","eventID","measurementType","measurementTypeID","measurementValue","measurementUnit","measurementUnitID","measurementRemarks"
"15","MC885_20140501_AT26144705047B","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"16","MC885_20140501_AT26144705047C","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"17","MC885_20140501_AT26144705047C","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"18","MC885_20140501_AT26144705047C","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"19","AT357_20140504_AT26144706058A","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"20","AT357_20140504_AT26144706058A","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"21","AT357_20140504_AT26144706058A","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"22","AT357_20140504_AT26144706058B","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"23","AT357_20140504_AT26144706058B","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"24","AT357_20140504_AT26144706058B","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"25","AT357_20140504_AT26144706058C","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"26","AT357_20140504_AT26144706058C","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"27","AT357_20140504_AT26144706058C","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"28","AT357_20140504_AT26144706059A","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"29","AT357_20140504_AT26144706059A","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"30","AT357_20140504_AT26144706059A","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"31","AT357_20140504_AT26144706059B","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"32","AT357_20140504_AT26144706059B","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"33","AT357_20140504_AT26144706059B","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"34","AT357_20140504_AT26144706059C","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"35","AT357_20140504_AT26144706059C","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"36","AT357_20140504_AT26144706059C","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"37","MC885_20101016_LII10GOM4007","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"38","MC885_20101016_LII10GOM4007","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"39","MC885_20101016_LII10GOM4007","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"40","MC885_20101016_LII10GOM4008","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"41","MC885_20101016_LII10GOM4008","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"42","MC885_20101016_LII10GOM4008","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"43","MC885_20101016_LII10GOM4009","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"44","MC885_20101016_LII10GOM4009","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"45","MC885_20101016_LII10GOM4009","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"46","MC885_20101016_LII10GOM4010","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"47","MC885_20101016_LII10GOM4010","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"48","MC885_20101016_LII10GOM4010","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"49","MC885_20101016_LII10GOM4011","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"50","MC885_20101016_LII10GOM4011","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"51","MC885_20101016_LII10GOM4011","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"52","MC885_20101016_LII10GOM4012","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"53","MC885_20101016_LII10GOM4012","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"54","MC885_20101016_LII10GOM4012","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"55","MC885_20101016_LII10GOM4013","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"56","MC885_20101016_LII10GOM4013","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"57","MC885_20101016_LII10GOM4013","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"58","MC885_20101016_LII10GOM4014","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"59","MC885_20101016_LII10GOM4014","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"60","MC885_20101016_LII10GOM4014","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"61","MC885_20101016_LII10GOM4015","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"62","MC885_20101016_LII10GOM4015","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"63","MC885_20101016_LII10GOM4015","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"64","GB299_20101019_LII10GOM4057","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"65","GB299_20101019_LII10GOM4057","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"66","GB299_20101019_LII10GOM4057","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"67","GB299_20101019_LII10GOM4058","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"68","GB299_20101019_LII10GOM4058","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"69","GB299_20101019_LII10GOM4058","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"70","GB299_20101019_LII10GOM4059","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"71","GB299_20101019_LII10GOM4059","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"72","GB299_20101019_LII10GOM4059","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"73","GB299_20101019_LII10GOM4060","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"74","GB299_20101019_LII10GOM4060","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"75","GB299_20101019_LII10GOM4060","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"76","GB299_20101019_LII10GOM4061","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"77","GB299_20101019_LII10GOM4061","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"78","GB299_20101019_LII10GOM4061","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"79","GB299_20101019_LII10GOM4062","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"80","GB299_20101019_LII10GOM4062","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"81","GB299_20101019_LII10GOM4062","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"82","GB299_20101019_LII10GOM4063","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"83","GB299_20101019_LII10GOM4063","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"84","GB299_20101019_LII10GOM4063","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"85","GB299_20101019_LII10GOM4064","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"86","GB299_20101019_LII10GOM4064","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"87","GB299_20101019_LII10GOM4064","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"88","GB299_20101019_LII10GOM4065","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"89","GB299_20101019_LII10GOM4065","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"90","GB299_20101019_LII10GOM4065","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"91","GB299_20101019_LII10GOM4066","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"92","GB299_20101019_LII10GOM4066","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"93","GB299_20101019_LII10GOM4066","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"94","GB299_20101019_LII10GOM4067","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"95","GB299_20101019_LII10GOM4067","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"96","GB299_20101019_LII10GOM4067","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"97","GB299_20101019_LII10GOM4068","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"98","GB299_20101019_LII10GOM4068","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"99","GB299_20101019_LII10GOM4068","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"100","GB299_20101020_LII10GOM4069","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"101","GB299_20101020_LII10GOM4069","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"102","GB299_20101020_LII10GOM4069","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"103","GB299_20101020_LII10GOM4070","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"104","GB299_20101020_LII10GOM4070","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"105","GB299_20101020_LII10GOM4070","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"106","GB299_20101020_LII10GOM4071","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"107","GB299_20101020_LII10GOM4071","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","5","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"108","GB299_20101020_LII10GOM4071","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","10","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"109","GB299_20101020_LII10GOM4072","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
"110","GB299_20101020_LII10GOM4072","Depth (spatial coordinate) minimum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MINCDIST/","0","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","lower value of ""Fraction"""
"111","GB299_20101020_LII10GOM4072","Depth (spatial coordinate) maximum relative to bed surface in the bed","http://vocab.nerc.ac.uk/collection/P01/current/MAXCDIST/","2","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","upper value of ""Fraction"""
"112","GB299_20101020_LII10GOM4073","Thickness (transverse) of core","http://vocab.nerc.ac.uk/collection/P01/current/COREWDTH/","6.35","ULCM","http://vocab.nerc.ac.uk/collection/P06/current/ULCM/","""CoreDiameter"""
